2016-09-12 12:35:17,013 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=59, disparity=22
2016-09-12 12:35:17,019 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=58, disparity=22
2016-09-12 12:35:17,024 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=59, disparity=22
2016-09-12 12:35:17,027 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=62, disparity=23
2016-09-12 12:35:17,031 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=63, disparity=23
2016-09-12 12:35:17,034 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=52, disparity=22
2016-09-12 12:35:17,038 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=53, disparity=22
2016-09-12 12:35:17,043 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=49, disparity=22
2016-09-12 12:35:17,047 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=50, disparity=22
2016-09-12 12:35:17,051 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=51, disparity=22
2016-09-12 12:35:17,055 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=52, disparity=22
2016-09-12 12:35:17,060 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=53, disparity=22
2016-09-12 12:35:17,064 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=48, disparity=22
2016-09-12 12:35:17,067 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=49, disparity=22
2016-09-12 12:35:17,071 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=50, disparity=22
2016-09-12 12:35:17,076 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=51, disparity=22
2016-09-12 12:35:17,079 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=135, row=39, disparity=22
2016-09-12 12:35:17,199 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=58, disparity=22
2016-09-12 12:35:17,204 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=59, disparity=22
2016-09-12 12:35:17,208 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=58, disparity=22
2016-09-12 12:35:17,212 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=59, disparity=22
2016-09-12 12:35:17,216 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=62, disparity=23
2016-09-12 12:35:17,219 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=63, disparity=23
2016-09-12 12:35:17,225 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=52, disparity=22
2016-09-12 12:35:17,229 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=53, disparity=22
2016-09-12 12:35:17,233 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=49, disparity=22
2016-09-12 12:35:17,237 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=50, disparity=22
2016-09-12 12:35:17,242 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=51, disparity=22
2016-09-12 12:35:17,246 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=52, disparity=22
2016-09-12 12:35:17,249 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=53, disparity=22
2016-09-12 12:35:17,253 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=48, disparity=22
2016-09-12 12:35:17,257 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=49, disparity=22
2016-09-12 12:35:17,262 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=50, disparity=22
2016-09-12 12:35:17,266 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=51, disparity=22
2016-09-12 12:35:17,270 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=135, row=39, disparity=22
2016-09-12 12:35:17,375 TRACE [Vision] [FUNCTION] [FILE:0] Reading image 0007
2016-09-12 12:35:17,403 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=58, disparity=22
2016-09-12 12:35:17,408 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=59, disparity=22
2016-09-12 12:35:17,412 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=58, disparity=22
2016-09-12 12:35:17,416 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=59, disparity=22
2016-09-12 12:35:17,419 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=62, disparity=23
2016-09-12 12:35:17,423 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=63, disparity=23
2016-09-12 12:35:17,427 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=52, disparity=22
2016-09-12 12:35:17,431 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=53, disparity=22
2016-09-12 12:35:17,435 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=49, disparity=22
2016-09-12 12:35:17,439 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=50, disparity=22
2016-09-12 12:35:17,443 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=51, disparity=22
2016-09-12 12:35:17,447 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=52, disparity=22
2016-09-12 12:35:17,450 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=53, disparity=22
2016-09-12 12:35:17,456 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=122, row=48, disparity=22
